Q2   W     ε      θ      σT + εσL        σT L             σT T            
0.3  1.15  0.877  67.5   7.509 ± 0.48    −2.084 ± 0.21    −2.558 ± 0.08   
0.3  1.15  0.877  82.5   7.848 ± 0.66    −1.623 ± 0.36    −3.256 ± 0.18   
0.3  1.15  0.877  97.5   7.300 ± 0.56    −1.332 ± 0.37    −3.871 ± 0.20   
0.3  1.15  0.877  112.5  7.640 ± 0.53    −0.607 ± 0.25    −3.243 ± 0.11   
0.3  1.15  0.877  127.5  7.845 ± 0.73    −0.612 ± 0.48    −3.815 ± 0.28   
0.3  1.17  0.869  7.5    7.330 ± 0.58    −0.454 ± 0.28    −0.207 ± 0.13   
0.3  1.17  0.869  22.5   7.603 ± 0.57    −1.715 ± 0.19    −0.908 ± 0.07   
0.3  1.17  0.869  37.5   8.122 ± 0.62    −2.896 ± 0.24    −0.985 ± 0.10   
0.3  1.17  0.869  52.5   9.284 ± 0.59    −3.055 ± 0.29    −3.644 ± 0.13   
0.3  1.17  0.869  67.5   10.270 ± 0.65   −2.184 ± 0.26    −4.977 ± 0.11   
0.3  1.17  0.869  82.5   11.112 ± 0.79   −1.331 ± 0.43    −4.833 ± 0.25   
0.3  1.17  0.869  97.5   10.570 ± 0.69   −1.480 ± 0.29    −5.635 ± 0.13   
0.3  1.17  0.869  112.5  10.971 ± 0.71   −0.730 ± 0.27    −4.924 ± 0.12   
0.3  1.17  0.869  127.5  10.856 ± 0.91   −1.431 ± 0.51    −2.195 ± 0.33   
0.3  1.17  0.869  142.5  7.540 ± 7.69    3.381 ± 6.69     −6.707 ± 17.31  
0.3  1.19  0.861  7.5    10.190 ± 0.83   0.214 ± 0.36     1.385 ± 0.20    
0.3  1.19  0.861  22.5   9.489 ± 0.65    −2.395 ± 0.24    −0.853 ± 0.10   
0.3  1.19  0.861  37.5   8.671 ± 2.86    −4.625 ± 2.39    −3.194 ± 3.29   
0.3  1.19  0.861  52.5   11.957 ± 0.75   −3.364 ± 0.37    −5.475 ± 0.19   
0.3  1.19  0.861  67.5   13.780 ± 0.85   −2.834 ± 0.28    −6.597 ± 0.12   
0.3  1.19  0.861  82.5   14.775 ± 0.94   −2.213 ± 0.40    −7.931 ± 0.23   
0.3  1.19  0.861  97.5   15.489 ± 0.95   −1.002 ± 0.23    −7.290 ± 0.10   
0.3  1.19  0.861  112.5  14.238 ± 0.89   −0.452 ± 0.30    −6.858 ± 0.14   
0.3  1.19  0.861  127.5  13.144 ± 0.92   0.281 ± 0.30     −5.281 ± 0.15   
0.3  1.19  0.861  142.5  15.094 ± 5.65   −1.826 ± 4.89    −0.976 ± 10.83  
0.3  1.21  0.852  7.5    13.173 ± 0.90   −0.630 ± 0.45    0.481 ± 0.26    
0.3  1.21  0.852  22.5   13.751 ± 1.01   −1.414 ± 0.49    −0.441 ± 0.32   
0.3  1.21  0.852  37.5   13.970 ± 1.25   −3.500 ± 0.45    −3.181 ± 0.26   
0.3  1.21  0.852  52.5   15.069 ± 1.03   −3.163 ± 0.54    −6.181 ± 0.34   
0.3  1.21  0.852  67.5   17.425 ± 1.13   −2.677 ± 0.45    −7.868 ± 0.26   
0.3  1.21  0.852  82.5   17.842 ± 1.18   −1.774 ± 0.52    −10.137 ± 0.34  
0.3  1.21  0.852  97.5   17.510 ± 1.05   −0.677 ± 0.25    −8.730 ± 0.10   
0.3  1.21  0.852  112.5  16.208 ± 0.98   −0.341 ± 0.17    −8.342 ± 0.06   
0.3  1.21  0.852  127.5  15.215 ± 1.01   0.015 ± 0.44     −5.204 ± 0.25   
0.3  1.21  0.852  142.5  16.611 ± 5.58   −3.116 ± 4.93    −1.479 ± 10.93  
0.3  1.23  0.843  7.5    14.642 ± 1.22   −1.197 ± 0.82    1.423 ± 0.73    
0.3  1.23  0.843  22.5   16.339 ± 1.09   −1.020 ± 0.41    −1.202 ± 0.25   
0.3  1.23  0.843  37.5   10.757 ± 1.73   −6.482 ± 1.53    −7.487 ± 1.69   
0.3  1.23  0.843  52.5   15.822 ± 1.02   −2.081 ± 0.53    −5.919 ± 0.34   
0.3  1.23  0.843  67.5   15.578 ± 1.03   −3.074 ± 0.60    −9.102 ± 0.39   
0.3  1.23  0.843  82.5   15.771 ± 0.98   −1.882 ± 0.40    −9.143 ± 0.23   
0.3  1.23  0.843  97.5   15.657 ± 0.94   −0.554 ± 0.19    −8.102 ± 0.07   
0.3  1.23  0.843  112.5  13.738 ± 0.83   −0.247 ± 0.16    −6.324 ± 0.05   
0.3  1.23  0.843  127.5  11.743 ± 0.78   0.303 ± 0.31     −4.575 ± 0.15   
0.3  1.23  0.843  142.5  11.163 ± 5.48   −0.964 ± 4.96    −2.334 ± 11.03  
0.3  1.25  0.833  7.5    26.183 ± 9.95   7.984 ± 8.65     6.982 ± 25.36   
0.3  1.25  0.833  22.5   17.060 ± 1.08   −0.482 ± 0.29    −1.241 ± 0.14   
0.3  1.25  0.833  37.5   18.852 ± 4.32   1.724 ± 3.68     −0.984 ± 6.71   
0.3  1.25  0.833  52.5   14.817 ± 1.00   −0.636 ± 0.55    −4.077 ± 0.36   
0.3  1.25  0.833  67.5   12.789 ± 0.85   −2.270 ± 0.42    −7.480 ± 0.23   
0.3  1.25  0.833  82.5   12.440 ± 0.79   −1.427 ± 0.28    −6.889 ± 0.14   
0.3  1.25  0.833  97.5   11.586 ± 0.71   −0.653 ± 0.15    −5.865 ± 0.05   
0.3  1.25  0.833  112.5  9.878 ± 0.61    −0.075 ± 0.14    −4.361 ± 0.05   
0.3  1.25  0.833  127.5  7.996 ± 0.52    0.190 ± 0.23     −2.902 ± 0.11   
0.3  1.25  0.833  142.5  4.385 ± 3.57    2.094 ± 3.23     −3.533 ± 5.81   
0.3  1.27  0.821  7.5    11.628 ± 2.07   0.516 ± 0.72     7.546 ± 0.55    
0.3  1.27  0.821  22.5   15.891 ± 1.06   0.292 ± 0.27     0.074 ± 0.13    
0.3  1.27  0.821  37.5   11.540 ± 5.94   −2.392 ± 5.08    −4.437 ± 11.43  
0.3  1.27  0.821  52.5   12.337 ± 0.81   −0.700 ± 0.36    −4.296 ± 0.21   
0.3  1.27  0.821  67.5   10.379 ± 0.78   −0.954 ± 0.54    −5.463 ± 0.39   
0.3  1.27  0.821  82.5   9.371 ± 0.58    −1.127 ± 0.28    −5.473 ± 0.13   
0.3  1.27  0.821  97.5   7.954 ± 0.48    −0.509 ± 0.12    −4.138 ± 0.04   
0.3  1.27  0.821  112.5  6.566 ± 0.42    −0.418 ± 0.14    −2.914 ± 0.04   
0.3  1.27  0.821  127.5  4.991 ± 0.36    0.106 ± 0.14     −2.405 ± 0.05   
0.3  1.27  0.821  142.5  6.153 ± 2.12    −2.024 ± 1.92    0.413 ± 2.66    
0.3  1.29  0.809  7.5    18.693 ± 17.07  −0.955 ± 14.64   −2.284 ± 54.72  
0.3  1.29  0.809  22.5   14.630 ± 1.22   0.020 ± 0.28     −0.232 ± 0.13   
0.3  1.29  0.809  37.5   10.761 ± 0.79   −1.691 ± 0.39    −4.241 ± 0.22   
0.3  1.29  0.809  52.5   10.713 ± 0.74   −0.022 ± 0.34    −2.690 ± 0.17   
0.3  1.29  0.809  67.5   8.456 ± 0.67    −0.940 ± 0.48    −4.205 ± 0.31   
0.3  1.29  0.809  82.5   7.188 ± 0.48    −0.537 ± 0.24    −3.444 ± 0.11   
0.3  1.29  0.809  97.5   5.947 ± 0.37    −0.632 ± 0.10    −3.431 ± 0.03   
0.3  1.29  0.809  112.5  4.667 ± 0.30    −0.481 ± 0.11    −2.093 ± 0.03   
0.3  1.29  0.809  127.5  3.277 ± 0.23    −0.185 ± 0.12    −1.574 ± 0.04   
0.3  1.29  0.809  142.5  2.237 ± 1.02    0.032 ± 0.96     −0.966 ± 0.94   
0.3  1.31  0.796  7.5    16.633 ± 4.46   0.257 ± 4.10     0.073 ± 8.28    
0.3  1.31  0.796  22.5   14.194 ± 1.15   1.115 ± 0.35     0.040 ± 0.19    
0.3  1.31  0.796  37.5   10.545 ± 0.75   −0.773 ± 0.36    −3.395 ± 0.19   
0.3  1.31  0.796  52.5   9.837 ± 0.64    0.306 ± 0.30     −2.568 ± 0.14   
0.3  1.31  0.796  67.5   6.128 ± 0.56    −1.904 ± 0.52    −5.526 ± 0.33   
0.3  1.31  0.796  82.5   5.535 ± 0.38    −0.760 ± 0.19    −3.315 ± 0.08   
0.3  1.31  0.796  97.5   4.649 ± 0.30    −0.693 ± 0.10    −2.687 ± 0.02   
0.3  1.31  0.796  112.5  3.312 ± 0.21    −0.323 ± 0.08    −1.649 ± 0.02   
0.3  1.31  0.796  127.5  2.281 ± 0.19    −0.220 ± 0.20    −1.197 ± 0.08   
0.3  1.31  0.796  142.5  1.589 ± 1.41    −0.109 ± 1.45    −0.505 ± 1.58   
0.3  1.33  0.782  7.5    22.290 ± 2.40   −4.533 ± 1.94    5.550 ± 2.35    
0.3  1.33  0.782  37.5   10.384 ± 0.83   0.104 ± 0.41     −3.681 ± 0.23   
0.3  1.33  0.782  52.5   8.508 ± 0.64    −0.010 ± 0.27    −3.841 ± 0.14   
0.3  1.33  0.782  67.5   6.063 ± 0.49    −0.543 ± 0.33    −3.271 ± 0.18   
0.3  1.33  0.782  82.5   4.680 ± 0.31    −0.519 ± 0.15    −2.827 ± 0.06   
0.3  1.33  0.782  97.5   3.584 ± 0.23    −0.563 ± 0.08    −2.019 ± 0.02   
0.3  1.33  0.782  112.5  2.611 ± 0.18    −0.366 ± 0.08    −1.086 ± 0.02   
0.3  1.33  0.782  127.5  1.536 ± 0.12    −0.185 ± 0.07    −0.959 ± 0.02   
0.3  1.33  0.782  142.5  0.625 ± 1.23    0.286 ± 1.11     −0.636 ± 1.03   
0.3  1.35  0.767  7.5    16.085 ± 1.11   −0.229 ± 0.48    0.125 ± 0.33    
0.3  1.35  0.767  37.5   9.509 ± 0.81    0.877 ± 0.47     −1.840 ± 0.28   
0.3  1.35  0.767  52.5   6.997 ± 0.56    −0.163 ± 0.18    −3.507 ± 0.07   
0.3  1.35  0.767  67.5   4.947 ± 0.40    −0.918 ± 0.23    −4.008 ± 0.11   
0.3  1.35  0.767  82.5   4.056 ± 0.31    −0.434 ± 0.14    −2.658 ± 0.05   
0.3  1.35  0.767  97.5   3.038 ± 0.19    −0.465 ± 0.06    −1.934 ± 0.01   
0.3  1.35  0.767  112.5  1.982 ± 0.13    −0.262 ± 0.05    −0.966 ± 0.01   
0.3  1.35  0.767  127.5  1.163 ± 0.10    −0.165 ± 0.07    −0.553 ± 0.02   
0.3  1.35  0.767  142.5  0.238 ± 1.36    0.527 ± 1.33     −0.940 ± 1.38   
0.3  1.37  0.751  7.5    14.138 ± 1.00   0.214 ± 0.42     0.237 ± 0.24    
0.3  1.37  0.751  22.5   16.143 ± 3.30   −3.769 ± 3.59    4.075 ± 6.77    
0.3  1.37  0.751  37.5   8.308 ± 0.62    1.104 ± 0.28     −1.647 ± 0.14   
0.3  1.37  0.751  52.5   6.724 ± 0.56    0.491 ± 0.26     −2.826 ± 0.13   
0.3  1.37  0.751  67.5   5.199 ± 0.41    0.112 ± 0.26     −3.181 ± 0.12   
0.3  1.37  0.751  82.5   3.711 ± 0.27    −0.197 ± 0.20    −2.611 ± 0.08   
0.3  1.37  0.751  97.5   2.491 ± 0.16    −0.415 ± 0.05    −1.817 ± 0.01   
0.3  1.37  0.751  112.5  1.770 ± 0.12    −0.304 ± 0.08    −0.799 ± 0.02   
0.3  1.37  0.751  127.5  1.128 ± 0.11    −0.250 ± 0.06    −0.469 ± 0.01   
0.3  1.37  0.751  142.5  1.216 ± 0.52    −0.617 ± 0.50    0.209 ± 0.34    
0.3  1.39  0.734  7.5    13.981 ± 0.91   0.898 ± 0.50     −0.002 ± 0.30   
0.3  1.39  0.734  37.5   8.470 ± 0.70    1.782 ± 0.35     −1.980 ± 0.18   
0.3  1.39  0.734  52.5   6.659 ± 0.50    0.646 ± 0.33     −3.588 ± 0.18   
0.3  1.39  0.734  67.5   4.851 ± 0.48    −0.032 ± 0.28    −3.155 ± 0.14   
0.3  1.39  0.734  82.5   3.296 ± 0.23    −0.436 ± 0.10    −2.655 ± 0.03   
0.3  1.39  0.734  97.5   2.383 ± 0.15    −0.210 ± 0.06    −1.684 ± 0.01   
0.3  1.39  0.734  112.5  1.515 ± 0.11    −0.283 ± 0.06    −0.810 ± 0.01   
0.3  1.39  0.734  127.5  0.922 ± 0.08    −0.167 ± 0.06    −0.559 ± 0.01   
0.3  1.39  0.734  142.5  1.454 ± 1.47    −0.922 ± 1.37    0.556 ± 1.54    
0.3  1.41  0.715  7.5    12.408 ± 0.84   −0.085 ± 0.32    −1.107 ± 0.18   
0.3  1.41  0.715  22.5   9.119 ± 1.09    0.371 ± 0.69     −1.825 ± 0.56   
0.3  1.41  0.715  37.5   7.486 ± 0.64    1.512 ± 0.29     −2.465 ± 0.14   
0.3  1.41  0.715  52.5   6.129 ± 0.44    0.571 ± 0.33     −3.617 ± 0.16   
0.3  1.41  0.715  67.5   4.480 ± 0.33    −0.168 ± 0.20    −3.726 ± 0.08   
0.3  1.41  0.715  82.5   3.244 ± 0.23    −0.240 ± 0.11    −2.530 ± 0.03   
0.3  1.41  0.715  97.5   2.297 ± 0.15    −0.158 ± 0.05    −1.731 ± 0.01   
0.3  1.41  0.715  112.5  1.425 ± 0.09    −0.183 ± 0.04    −1.010 ± 0.01   
0.3  1.41  0.715  127.5  1.015 ± 0.12    −0.250 ± 0.09    −0.453 ± 0.02   
0.3  1.41  0.715  142.5  0.785 ± 0.65    −0.233 ± 0.46    −0.090 ± 0.31   
0.3  1.43  0.695  7.5    11.388 ± 0.89   1.796 ± 0.30     −0.813 ± 0.15   
0.3  1.43  0.695  22.5   7.441 ± 0.80    0.228 ± 0.66     −2.310 ± 0.51   
0.3  1.43  0.695  52.5   5.876 ± 0.59    0.177 ± 0.35     −4.535 ± 0.18   
0.3  1.43  0.695  67.5   4.644 ± 0.31    −0.058 ± 0.11    −3.828 ± 0.03   
0.3  1.43  0.695  82.5   3.518 ± 0.26    −0.149 ± 0.19    −2.869 ± 0.07   
0.3  1.43  0.695  97.5   2.345 ± 0.16    −0.235 ± 0.05    −1.914 ± 0.01   
0.3  1.43  0.695  112.5  1.574 ± 0.11    −0.138 ± 0.04    −1.259 ± 0.01   
0.3  1.43  0.695  127.5  0.980 ± 0.07    −0.132 ± 0.05    −0.671 ± 0.01   
0.3  1.43  0.695  142.5  0.856 ± 0.58    −0.339 ± 0.58    −0.134 ± 0.39   
0.3  1.45  0.674  7.5    9.761 ± 0.72    1.533 ± 0.26     −1.459 ± 0.12   
0.3  1.45  0.674  22.5   6.695 ± 1.33    0.006 ± 1.30     −2.646 ± 1.45   
0.3  1.45  0.674  37.5   8.181 ± 1.35    0.364 ± 1.01     −2.126 ± 1.00   
0.3  1.45  0.674  52.5   6.718 ± 0.60    1.298 ± 0.49     −3.392 ± 0.31   
0.3  1.45  0.674  67.5   4.985 ± 0.37    −0.037 ± 0.09    −4.081 ± 0.02   
0.3  1.45  0.674  82.5   3.627 ± 0.26    −0.158 ± 0.10    −2.970 ± 0.03   
0.3  1.45  0.674  97.5   2.730 ± 0.19    −0.212 ± 0.05    −2.476 ± 0.01   
0.3  1.45  0.674  112.5  1.883 ± 0.13    −0.207 ± 0.04    −1.507 ± 0.01   
0.3  1.45  0.674  127.5  1.269 ± 0.09    −0.209 ± 0.05    −0.806 ± 0.01   
0.3  1.45  0.674  142.5  1.520 ± 1.20    −0.751 ± 1.20    0.099 ± 1.11    
0.3  1.47  0.652  7.5    10.384 ± 0.71   1.601 ± 0.30     −0.872 ± 0.15   
0.3  1.47  0.652  22.5   8.966 ± 1.90    2.585 ± 1.97     −0.794 ± 2.77   
0.3  1.47  0.652  37.5   7.325 ± 0.55    1.430 ± 0.40     −3.595 ± 0.23   
0.3  1.47  0.652  52.5   6.294 ± 0.47    0.016 ± 0.34     −5.393 ± 0.17   
0.3  1.47  0.652  67.5   5.710 ± 0.39    0.058 ± 0.11     −4.814 ± 0.03   
0.3  1.47  0.652  82.5   4.442 ± 0.34    0.016 ± 0.23     −3.808 ± 0.10   
0.3  1.47  0.652  97.5   3.550 ± 0.23    −0.262 ± 0.07    −2.739 ± 0.02   
0.3  1.47  0.652  112.5  2.577 ± 0.17    −0.307 ± 0.07    −1.997 ± 0.01   
0.3  1.47  0.652  127.5  1.916 ± 0.14    −0.215 ± 0.06    −1.358 ± 0.01   
0.3  1.47  0.652  142.5  1.586 ± 0.67    −0.471 ± 0.80    −0.438 ± 0.61   
0.3  1.49  0.628  7.5    10.202 ± 0.70   1.896 ± 0.37     0.293 ± 0.19    
0.3  1.49  0.628  22.5   6.937 ± 1.34    0.655 ± 1.26     −2.310 ± 1.35   
0.3  1.49  0.628  52.5   6.063 ± 0.44    −0.040 ± 0.35    −4.892 ± 0.19   
0.3  1.49  0.628  67.5   5.706 ± 0.42    0.085 ± 0.14     −4.624 ± 0.04   
0.3  1.49  0.628  82.5   4.947 ± 0.36    −0.101 ± 0.20    −4.544 ± 0.09   
0.3  1.49  0.628  97.5   4.199 ± 0.29    −0.354 ± 0.07    −3.412 ± 0.02   
0.3  1.49  0.628  112.5  3.542 ± 0.25    −0.387 ± 0.06    −3.278 ± 0.01   
0.3  1.49  0.628  127.5  2.678 ± 0.20    −0.392 ± 0.10    −2.050 ± 0.03   
0.3  1.49  0.628  142.5  2.122 ± 0.35    −0.400 ± 0.40    −1.334 ± 0.21   
0.3  1.51  0.602  7.5    11.363 ± 0.81   1.969 ± 0.46     0.260 ± 0.27    
0.3  1.51  0.602  22.5   8.248 ± 1.51    1.289 ± 1.59     −1.480 ± 1.98   
0.3  1.51  0.602  37.5   7.380 ± 1.11    1.315 ± 0.78     −2.254 ± 0.67   
0.3  1.51  0.602  52.5   5.285 ± 0.41    0.255 ± 0.39     −3.690 ± 0.23   
0.3  1.51  0.602  67.5   4.250 ± 0.27    −0.111 ± 0.08    −3.596 ± 0.02   
0.3  1.51  0.602  82.5   3.825 ± 0.30    −0.230 ± 0.19    −3.628 ± 0.07   
0.3  1.51  0.602  97.5   3.590 ± 0.24    −0.353 ± 0.06    −3.310 ± 0.01   
0.3  1.51  0.602  112.5  3.379 ± 0.23    −0.294 ± 0.07    −2.952 ± 0.02   
0.3  1.51  0.602  127.5  2.683 ± 0.20    −0.263 ± 0.08    −1.985 ± 0.02   
0.3  1.51  0.602  142.5  2.002 ± 0.53    0.042 ± 0.62     −1.599 ± 0.48   
0.3  1.53  0.575  7.5    13.190 ± 1.08   2.641 ± 0.65     1.165 ± 0.47    
0.3  1.53  0.575  22.5   5.607 ± 1.20    −2.410 ± 1.61    −5.446 ± 1.84   
0.3  1.53  0.575  37.5   6.150 ± 0.57    0.443 ± 0.57     −1.619 ± 0.40   
0.3  1.53  0.575  67.5   2.767 ± 0.18    −0.088 ± 0.10    −1.846 ± 0.03   
0.3  1.53  0.575  82.5   2.494 ± 0.19    −0.103 ± 0.12    −2.088 ± 0.04   
0.3  1.53  0.575  97.5   2.621 ± 0.16    −0.178 ± 0.06    −2.316 ± 0.01   
0.3  1.53  0.575  112.5  2.732 ± 0.18    −0.043 ± 0.06    −2.315 ± 0.01   
0.3  1.53  0.575  127.5  2.528 ± 0.17    −0.104 ± 0.09    −1.536 ± 0.03   
0.3  1.53  0.575  142.5  2.217 ± 0.36    −0.119 ± 0.35    −1.366 ± 0.18   
0.3  1.55  0.547  7.5    14.342 ± 1.48   3.682 ± 1.43     −0.848 ± 1.47   
0.3  1.55  0.547  22.5   8.640 ± 1.77    1.923 ± 1.77     −0.618 ± 2.23   
0.3  1.55  0.547  37.5   4.925 ± 0.47    0.071 ± 0.54     −2.457 ± 0.36   
0.3  1.55  0.547  52.5   2.717 ± 0.62    0.070 ± 0.59     −2.645 ± 0.45   
0.3  1.55  0.547  67.5   1.893 ± 0.13    −0.171 ± 0.08    −1.520 ± 0.02   
0.3  1.55  0.547  82.5   1.433 ± 0.14    −0.117 ± 0.12    −1.254 ± 0.04   
0.3  1.55  0.547  97.5   1.620 ± 0.11    0.009 ± 0.05     −1.227 ± 0.01   
0.3  1.55  0.547  112.5  1.929 ± 0.14    0.006 ± 0.05     −1.558 ± 0.01   
0.3  1.55  0.547  127.5  1.872 ± 0.14    0.045 ± 0.06     −1.166 ± 0.01   
0.3  1.55  0.547  142.5  1.628 ± 0.21    0.095 ± 0.13     −0.840 ± 0.04   
0.3  1.57  0.516  7.5    11.843 ± 2.00   1.512 ± 2.37     1.356 ± 3.65    
0.3  1.57  0.516  22.5   7.309 ± 1.78    0.685 ± 2.31     −2.492 ± 3.51   
0.3  1.57  0.516  37.5   3.701 ± 0.41    −0.790 ± 0.53    −3.581 ± 0.37   
0.3  1.57  0.516  52.5   2.138 ± 0.44    0.070 ± 0.44     −3.372 ± 0.29   
0.3  1.57  0.516  67.5   1.460 ± 0.12    −0.207 ± 0.11    −0.869 ± 0.03   
0.3  1.57  0.516  82.5   0.992 ± 0.11    −0.041 ± 0.12    −0.346 ± 0.04   
0.3  1.57  0.516  97.5   1.036 ± 0.08    0.000 ± 0.09     −0.575 ± 0.02   
0.3  1.57  0.516  112.5  1.491 ± 0.14    0.111 ± 0.06     −0.992 ± 0.01   
0.3  1.57  0.516  127.5  1.492 ± 0.11    0.148 ± 0.09     −0.626 ± 0.02   
0.3  1.57  0.516  142.5  1.293 ± 0.16    0.401 ± 0.17     −0.876 ± 0.07   
0.4  1.11  0.85   7.5    3.026 ± 0.56    −0.592 ± 0.44    1.302 ± 0.25    
0.4  1.11  0.85   22.5   3.448 ± 0.27    −0.265 ± 0.14    −0.159 ± 0.05   
0.4  1.11  0.85   37.5   3.315 ± 0.27    −0.698 ± 0.14    −0.057 ± 0.05   
0.4  1.11  0.85   52.5   3.303 ± 0.32    −1.003 ± 0.23    −0.247 ± 0.10   
0.4  1.11  0.85   67.5   2.823 ± 0.27    −1.005 ± 0.24    −1.012 ± 0.10   
0.4  1.11  0.85   82.5   3.131 ± 0.24    −0.668 ± 0.16    −0.816 ± 0.06   
0.4  1.11  0.85   97.5   3.014 ± 0.34    −0.692 ± 0.27    −0.961 ± 0.12   
0.4  1.11  0.85   112.5  3.226 ± 1.19    −0.409 ± 1.17    −0.380 ± 1.21   
0.4  1.13  0.843  7.5    5.045 ± 0.66    −0.204 ± 0.35    −0.503 ± 0.18   
0.4  1.13  0.843  22.5   4.058 ± 0.30    −0.729 ± 0.14    −0.247 ± 0.05   
0.4  1.13  0.843  37.5   4.385 ± 0.32    −0.992 ± 0.16    −0.106 ± 0.06   
0.4  1.13  0.843  52.5   4.441 ± 0.42    −0.994 ± 0.21    −1.153 ± 0.08   
0.4  1.13  0.843  67.5   4.314 ± 0.30    −0.990 ± 0.15    −1.460 ± 0.05   
0.4  1.13  0.843  82.5   4.453 ± 0.31    −1.035 ± 0.15    −1.705 ± 0.05   
0.4  1.13  0.843  97.5   4.093 ± 0.34    −1.080 ± 0.26    −2.391 ± 0.11   
0.4  1.13  0.843  112.5  4.252 ± 0.33    −0.961 ± 0.19    −1.547 ± 0.08   
0.4  1.13  0.843  127.5  4.292 ± 0.42    0.021 ± 0.27     −3.695 ± 0.12   
0.4  1.15  0.834  7.5    4.608 ± 0.44    −0.048 ± 0.24    0.481 ± 0.11    
0.4  1.15  0.834  22.5   4.839 ± 0.33    −0.842 ± 0.14    −0.648 ± 0.05   
0.4  1.15  0.834  37.5   5.180 ± 0.38    −1.272 ± 0.14    −1.102 ± 0.05   
0.4  1.15  0.834  52.5   5.254 ± 0.38    −1.879 ± 0.22    −1.928 ± 0.09   
0.4  1.15  0.834  67.5   6.121 ± 0.39    −1.328 ± 0.18    −2.266 ± 0.06   
0.4  1.15  0.834  82.5   6.501 ± 0.44    −1.051 ± 0.22    −2.676 ± 0.09   
0.4  1.15  0.834  97.5   6.084 ± 0.46    −1.073 ± 0.24    −3.514 ± 0.11   
0.4  1.15  0.834  112.5  6.052 ± 0.41    −0.554 ± 0.18    −2.880 ± 0.06   
0.4  1.15  0.834  127.5  6.371 ± 0.59    −0.344 ± 0.44    −2.613 ± 0.25   
0.4  1.15  0.834  142.5  7.645 ± 2.36    −1.068 ± 2.05    −0.795 ± 2.94   
0.4  1.17  0.826  7.5    5.183 ± 0.49    −0.969 ± 0.26    0.026 ± 0.12    
0.4  1.17  0.826  22.5   5.743 ± 0.39    −1.429 ± 0.16    −0.870 ± 0.05   
0.4  1.17  0.826  37.5   6.654 ± 0.66    −1.252 ± 0.45    −0.340 ± 0.29   
0.4  1.17  0.826  52.5   7.210 ± 0.46    −2.289 ± 0.23    −3.481 ± 0.10   
0.4  1.17  0.826  67.5   8.043 ± 0.52    −1.466 ± 0.23    −3.867 ± 0.10   
0.4  1.17  0.826  82.5   8.874 ± 0.61    −1.391 ± 0.27    −4.932 ± 0.12   
0.4  1.17  0.826  97.5   8.568 ± 0.58    −1.323 ± 0.25    −5.178 ± 0.11   
0.4  1.17  0.826  112.5  8.755 ± 0.55    −0.646 ± 0.15    −4.590 ± 0.05   
0.4  1.17  0.826  127.5  8.386 ± 0.60    −0.424 ± 0.21    −2.863 ± 0.21   
0.4  1.17  0.826  142.5  6.490 ± 2.24    3.447 ± 2.60     −5.914 ± 3.53   
0.4  1.19  0.816  7.5    7.686 ± 0.64    −0.368 ± 0.24    −0.778 ± 0.11   
0.4  1.19  0.816  22.5   7.180 ± 0.58    −2.041 ± 0.29    −2.011 ± 0.14   
0.4  1.19  0.816  37.5   8.637 ± 0.61    −1.994 ± 0.33    −2.056 ± 0.16   
0.4  1.19  0.816  52.5   9.435 ± 0.69    −2.779 ± 0.49    −4.851 ± 0.29   
